Country,Year,Status,Life expectancy ,Adult Mortality,infant deaths,Alcohol,percentage expenditure,Hepatitis B,Measles , BMI ,under-five deaths ,Polio,Total expenditure,Diphtheria , HIV/AIDS,GDP,Population, thinness  1-19 years, thinness 5-9 years,Income composition of resources,Schooling
104,8,0,80.0,-0.5263157894736842,-0.14285714285714285,0.4948830409356725,6.070122956526011,-0.2857142857142857,-0.04169381107491857,0.6143344709897609,-0.15384615384615385,-1.105263157894737,0.7423312883435581,-1.1506849315068493,0.0,4.741009670641743,-0.31118901297243023,-0.47272727272727266,-0.47272727272727266,0.49387370405278,0.5641025641025641
37,5,1,55.3,1.644736842105263,0.23809523809523808,-0.25219298245614036,-0.16008770002979958,-1.119047619047619,0.33615635179153097,-0.61160409556314,0.34615384615384615,-1.631578947368421,-1.0153374233128833,-1.6986301369863013,9.666666666666668,0.0,0.0,1.0000000000000002,0.9454545454545454,-0.7012252591894441,-0.7692307692307695
25,9,1,56.9,0.9144736842105263,1.9523809523809523,0.11622807017543858,0.030281062653088758,0.0,140.9798045602606,-0.764505119453925,2.8076923076923075,-0.10526315789473684,0.5153374233128832,-0.0547945205479452,1.6666666666666667,-0.30236363611978573,0.030021605479094993,1.090909090909091,1.0000000000000002,-1.2290292177191333,-1.6666666666666672
70,11,1,57.1,0.9539473684210527,0.047619047619047616,-0.027046783625731003,-0.06517980507908798,-0.2857142857142857,-0.04429967426710098,-0.5569965870307167,0.11538461538461539,-0.42105263157894735,-0.08282208588957067,-0.3835616438356164,9.333333333333334,-0.2693433674205473,0.0491119484804158,0.8181818181818182,0.8,-1.0254476908576817,-0.8717948717948723
114,7,1,64.5,0.48026315789473684,2.619047619047619,-0.5109649122807017,-0.15884292933013683,-0.3333333333333333,2.7908794788273616,-0.7235494880546075,2.8461538461538463,-0.47368421052631576,-1.2423312883435582,-0.3835616438356164,0.8333333333333334,-0.42299643498924333,11.131185224253878,1.7999999999999998,1.8545454545454545,-0.746465598491989,-1.102564102564103
96,9,1,72.7,-0.07894736842105263,-0.047619047619047616,-0.547514619883041,-0.010989785906184732,0.2857142857142857,0.8130293159609121,0.40682593856655286,-0.07692307692307693,0.2631578947368421,-0.7883435582822085,0.273972602739726,0.0,-0.1267734531180416,0.0,0.41818181818181815,0.3818181818181819,0.28275212064090466,0.5641025641025641
30,14,1,82.0,-0.5197368421052632,-0.047619047619047616,0.6352339181286549,0.07965958378275854,-1.7619047619047619,1.0449511400651466,0.6088737201365189,-0.07692307692307693,-0.10526315789473684,-1.3128834355828218,-0.1095890410958904,0.0,-0.30432468722139805,7.956949069454968,-0.509090909090909,-0.509090909090909,0.8671065032987747,0.8974358974358978
108,8,1,68.4,0.19736842105263158,-0.14285714285714285,-0.26096491228070173,-0.16008770002979958,-0.14285714285714285,-0.04429967426710098,0.5761092150170649,-0.15384615384615385,-0.2631578947368421,2.211656441717791,-0.4383561643835616,0.0,0.0,0.0,-0.5636363636363636,-0.5636363636363636,-0.20358152686145164,-0.3076923076923081
20,10,1,76.4,-0.32894736842105265,-0.14285714285714285,0.11476608187134506,1.3188591201903024,-0.14285714285714285,0.07296416938110749,0.24573378839590443,-0.15384615384615385,-4.421052631578948,1.1809815950920242,-0.2191780821917808,0.0,0.6552363372514375,-0.23597252579237415,-0.12727272727272723,-0.12727272727272723,0.13195098963242194,0.23076923076923095
21,9,1,59.2,1.638157894736842,-0.047619047619047616,0.1834795321637427,0.8411889727373211,0.09523809523809523,0.43517915309446253,-0.256655290102389,-0.038461538461538464,0.15789473684210525,0.20245398773006107,0.1643835616438356,14.833333333333334,0.7907242132916295,0.13849635625554643,0.9272727272727274,0.8909090909090908,-0.07917059377945342,-0.05128205128205157
